"pattern_id","n_flippers","row_offset","col_offset"
1,1,-2,-2
2,1,-1,-2
3,1,0,-2
4,1,1,-2
5,1,2,-2
6,1,-2,-1
7,1,-1,-1
8,1,0,-1
9,1,1,-1
10,1,2,-1
11,1,-2,0
12,1,-1,0
13,1,1,0
14,1,2,0
15,1,-2,1
16,1,-1,1
17,1,0,1
18,1,1,1
19,1,2,1
20,1,-2,2
21,1,-1,2
22,1,0,2
23,1,1,2
24,1,2,2
25,2,-2,-2
25,2,-1,-2
26,2,-2,-2
26,2,0,-2
27,2,-2,-2
27,2,1,-2
28,2,-2,-2
28,2,2,-2
29,2,-2,-2
29,2,-2,-1
30,2,-2,-2
30,2,-1,-1
31,2,-2,-2
31,2,0,-1
32,2,-2,-2
32,2,1,-1
33,2,-2,-2
33,2,2,-1
34,2,-2,-2
34,2,-2,0
35,2,-2,-2
35,2,-1,0
36,2,-2,-2
36,2,1,0
37,2,-2,-2
37,2,2,0
38,2,-2,-2
38,2,-2,1
39,2,-2,-2
39,2,-1,1
40,2,-2,-2
40,2,0,1
41,2,-2,-2
41,2,1,1
42,2,-2,-2
42,2,2,1
43,2,-2,-2
43,2,-2,2
44,2,-2,-2
44,2,-1,2
45,2,-2,-2
45,2,0,2
46,2,-2,-2
46,2,1,2
47,2,-2,-2
47,2,2,2
48,2,-1,-2
48,2,0,-2
49,2,-1,-2
49,2,1,-2
50,2,-1,-2
50,2,2,-2
51,2,-1,-2
51,2,-2,-1
52,2,-1,-2
52,2,-1,-1
53,2,-1,-2
53,2,0,-1
54,2,-1,-2
54,2,1,-1
55,2,-1,-2
55,2,2,-1
56,2,-1,-2
56,2,-2,0
57,2,-1,-2
57,2,-1,0
58,2,-1,-2
58,2,1,0
59,2,-1,-2
59,2,2,0
60,2,-1,-2
60,2,-2,1
61,2,-1,-2
61,2,-1,1
62,2,-1,-2
62,2,0,1
63,2,-1,-2
63,2,1,1
64,2,-1,-2
64,2,2,1
65,2,-1,-2
65,2,-2,2
66,2,-1,-2
66,2,-1,2
67,2,-1,-2
67,2,0,2
68,2,-1,-2
68,2,1,2
69,2,-1,-2
69,2,2,2
70,2,0,-2
70,2,1,-2
71,2,0,-2
71,2,2,-2
72,2,0,-2
72,2,-2,-1
73,2,0,-2
73,2,-1,-1
74,2,0,-2
74,2,0,-1
75,2,0,-2
75,2,1,-1
76,2,0,-2
76,2,2,-1
77,2,0,-2
77,2,-2,0
78,2,0,-2
78,2,-1,0
79,2,0,-2
79,2,1,0
80,2,0,-2
80,2,2,0
81,2,0,-2
81,2,-2,1
82,2,0,-2
82,2,-1,1
83,2,0,-2
83,2,0,1
84,2,0,-2
84,2,1,1
85,2,0,-2
85,2,2,1
86,2,0,-2
86,2,-2,2
87,2,0,-2
87,2,-1,2
88,2,0,-2
88,2,0,2
89,2,0,-2
89,2,1,2
90,2,0,-2
90,2,2,2
91,2,1,-2
91,2,2,-2
92,2,1,-2
92,2,-2,-1
93,2,1,-2
93,2,-1,-1
94,2,1,-2
94,2,0,-1
95,2,1,-2
95,2,1,-1
96,2,1,-2
96,2,2,-1
97,2,1,-2
97,2,-2,0
98,2,1,-2
98,2,-1,0
99,2,1,-2
99,2,1,0
100,2,1,-2
100,2,2,0
101,2,1,-2
101,2,-2,1
102,2,1,-2
102,2,-1,1
103,2,1,-2
103,2,0,1
104,2,1,-2
104,2,1,1
105,2,1,-2
105,2,2,1
106,2,1,-2
106,2,-2,2
107,2,1,-2
107,2,-1,2
108,2,1,-2
108,2,0,2
109,2,1,-2
109,2,1,2
110,2,1,-2
110,2,2,2
111,2,2,-2
111,2,-2,-1
112,2,2,-2
112,2,-1,-1
113,2,2,-2
113,2,0,-1
114,2,2,-2
114,2,1,-1
115,2,2,-2
115,2,2,-1
116,2,2,-2
116,2,-2,0
117,2,2,-2
117,2,-1,0
118,2,2,-2
118,2,1,0
119,2,2,-2
119,2,2,0
120,2,2,-2
120,2,-2,1
121,2,2,-2
121,2,-1,1
122,2,2,-2
122,2,0,1
123,2,2,-2
123,2,1,1
124,2,2,-2
124,2,2,1
125,2,2,-2
125,2,-2,2
126,2,2,-2
126,2,-1,2
127,2,2,-2
127,2,0,2
128,2,2,-2
128,2,1,2
129,2,2,-2
129,2,2,2
130,2,-2,-1
130,2,-1,-1
131,2,-2,-1
131,2,0,-1
132,2,-2,-1
132,2,1,-1
133,2,-2,-1
133,2,2,-1
134,2,-2,-1
134,2,-2,0
