"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns","mean_move_overlap","max_move_overlap","prop_moves_overlap","prop_overlap_2plus","sd_move_overlap","mean_move_hamming","min_move_hamming","max_move_hamming","sd_move_hamming","mean_local_hamming","min_local_hamming","max_local_hamming","sd_local_hamming","mean_pair_effect","min_pair_effect","max_pair_effect","sd_pair_effect","prop_pair_effect_small","effect_mean_pair_distance","effect_max_pair_distance","effect_sd_pair_distance"
1,"-2:-2",1,TRUE,0,1,0,"diagonal_only",2.82842712474619,2.82842712474619,4,4,2,2.82842712474619,2,4,2,20,5,FALSE,20,1048576,5,32,25,25,0.0833333333333333,1,0.0833333333333333,0,0.27684719634237,3.83333333333333,2,4,0.553694392684741,4,4,4,0,3.83333333333333,2,4,0.553694392684741,1,2.82842712474619,2.82842712474619,NA
2,"-1:-2",1,TRUE,0,0,1,"off_axis",2.23606797749979,2.23606797749979,3,3,2,2.23606797749979,2,8,1,20,5,FALSE,20,1048576,5,32,25,25,0.0833333333333333,1,0.0833333333333333,0,0.27684719634237,3.83333333333333,2,4,0.553694392684741,4,4,4,0,3.83333333333333,2,4,0.553694392684741,1,2.23606797749979,2.23606797749979,NA
3,"-2:0",1,TRUE,1,0,0,"axis_only",2,2,2,2,2,2,2,4,2,20,5,FALSE,20,1048576,5,32,25,25,0.0833333333333333,1,0.0833333333333333,0,0.27684719634237,3.83333333333333,2,4,0.553694392684741,4,4,4,0,3.83333333333333,2,4,0.553694392684741,1,2,2,NA
4,"-1:-1",1,TRUE,0,1,0,"diagonal_only",1.4142135623731,1.4142135623731,2,2,1,1.4142135623731,1,4,2,20,5,FALSE,20,1048576,5,32,25,25,0.0833333333333333,1,0.0833333333333333,0,0.27684719634237,3.83333333333333,2,4,0.553694392684741,4,4,4,0,3.83333333333333,2,4,0.553694392684741,1,1.4142135623731,1.4142135623731,NA
5,"-1:0",1,TRUE,1,0,0,"axis_only",1,1,1,1,1,1,1,4,2,20,5,FALSE,20,1048576,5,32,25,25,0.0833333333333333,1,0.0833333333333333,0,0.27684719634237,3.83333333333333,2,4,0.553694392684741,3,2,4,1.01015254455221,3.83333333333333,2,4,0.553694392684741,1,1,1,NA
6,"-2:-2|-1:-2",2,TRUE,0,1,1,"off_axis",2.53224755112299,2.82842712474619,3.5,4,2,2.02149836741533,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,5,4,6,1.01015254455221,5.5,4,6,0.86747239794936,0.25,2.02149836741533,2.82842712474619,0.932907565520697
7,"-2:-2|-2:0",2,TRUE,1,1,0,"mixed",2.41421356237309,2.82842712474619,3,4,2,2.2761423749154,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.2761423749154,2.82842712474619,0.478292623476201
8,"-1:-2|2:-2",2,TRUE,0,1,1,"off_axis",2.53224755112299,2.82842712474619,3.5,4,2,2.35483170074866,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.35483170074866,2.82842712474619,0.426792094261082
9,"-2:-2|-2:2",2,TRUE,0,2,0,"diagonal_only",2.82842712474619,2.82842712474619,4,4,2,2.21895141649746,2,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,5,4,6,1.01015254455221,5.5,4,6,0.86747239794936,0.25,2.21895141649746,2.82842712474619,1.05564289266583
10,"-2:-2|-1:-1",2,TRUE,0,2,0,"diagonal_only",2.12132034355964,2.82842712474619,3,4,2,1.88561808316413,1,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,6,6,6,0,5.5,2,6,1.19222677468435,0.166666666666667,1.88561808316413,2.82842712474619,0.816496580927726
