"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns","mean_move_overlap","max_move_overlap","prop_moves_overlap","prop_overlap_2plus","sd_move_overlap","mean_move_hamming","min_move_hamming","max_move_hamming","sd_move_hamming","mean_local_hamming","min_local_hamming","max_local_hamming","sd_local_hamming","mean_pair_effect","min_pair_effect","max_pair_effect","sd_pair_effect","prop_pair_effect_small","effect_mean_pair_distance","effect_max_pair_distance","effect_sd_pair_distance","comparison_group","z_spatial_dispersion","z_local_change","z_overlap_variability","z_asymmetry","z_components","structural_difficulty_score","difficulty_percentile","difficulty_rank_within_group","difficulty_band","sf_width","sf_height","sf_area","visual_max_chebyshev","visual_max_manhattan","visual_width","visual_height","visual_area","connector_cells","visible_flippers","visible_start_cells","total_visible_cells","visual_density","f_on_s","duplicate_wrapped_f","valid_for_game","visual_complexity_score","elegance_score"
47,"-1:-1|1:1",2,TRUE,0,2,0,"diagonal_only",1.4142135623731,1.4142135623731,2,2,1,1.88561808316413,1,2,4,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,6,6,6,0,5.5,2,6,1.19222677468435,0.166666666666667,1.88561808316413,2.82842712474619,0.816496580927726,"F2_R25",-0.155592441927251,0.786850975951619,1.8228349548786,-1.88586848033368,-1.39805059083906,-0.829825582269777,0.348837209302326,29,"easy",3,3,9,1,2,3,3,9,0,2,1,3,0.333333333333333,FALSE,FALSE,TRUE,-13.7438504535631,12.9140248712933
46,"-1:-1|0:1",2,TRUE,1,1,0,"mixed",1.20710678118655,1.4142135623731,1.5,2,1,1.5500938466243,1,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,5,4,6,1.01015254455221,5.5,4,6,0.86747239794936,0.25,1.5500938466243,2.23606797749979,0.629137186936399,"F2_R25",-1.12318475474222,-0.718429151955826,-0.536127927905471,0.762372364390212,-1.39805059083906,-3.01342006105237,0.13953488372093,37,"very_easy",3,2,6,1,2,3,2,6,0,2,1,3,0.5,FALSE,FALSE,TRUE,-14.3379976181812,11.3245775571289
45,"-1:-1|-1:1",2,TRUE,0,2,0,"diagonal_only",1.4142135623731,1.4142135623731,2,2,1,1.60947570824873,1,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,1.60947570824873,2,0.338203957451525,"F2_R25",-0.951938011374324,0.786850975951619,-0.536127927905471,-1.00312153209238,-1.39805059083906,-3.10238708625962,0.0930232558139535,40,"very_easy",3,2,6,1,2,3,2,6,0,2,1,3,0.5,FALSE,FALSE,TRUE,-14.3379976181812,11.2356105319216
49,"-1:0|1:0",2,TRUE,2,0,0,"axis_only",1,1,1,1,1,1.33333333333333,1,2,4,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,4,2,6,2.02030508910442,5.5,2,6,1.19222677468435,0.166666666666667,1.33333333333333,2,0.577350269189626,"F2_R25",-1.7482835808214,-2.22370927986327,1.8228349548786,-1.88586848033368,-1.39805059083906,-5.43307697697881,0.0465116279069767,42,"very_easy",1,3,3,1,1,1,3,3,0,2,1,3,1,FALSE,FALSE,TRUE,-14.9321447827993,9.49906780582053
44,"-1:-1|-1:0",2,TRUE,1,1,0,"mixed",1.20710678118655,1.4142135623731,1.5,2,1,1.1380711874577,1,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,4,4,4,0,5.5,4,6,0.86747239794936,0.25,1.1380711874577,1.4142135623731,0.2391463117381,"F2_R25",-2.31138493314528,-2.22370927986327,-0.536127927905471,0.762372364390212,-1.39805059083906,-5.70690036736288,0.0232558139534884,43,"very_easy",2,2,4,1,2,2,2,4,0,2,1,3,0.75,FALSE,FALSE,TRUE,-14.7340957279266,9.02719536056375
1712,"-1:-1|-1:0|1:-1|1:1",4,TRUE,1,3,0,"mixed",1.31066017177982,1.4142135623731,1.75,2,1,1.75432037668651,1,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.75,0.0833333333333333,0.553694392684741,8.33333333333333,6,10,1.10738878536948,8,8,8,0,8.33333333333333,6,10,1.10738878536948,0,1.75432037668651,2.82842712474619,0.598479569819794,"F4_R25",-1.26794386844006,-0.342004264885899,-1.2876990647278,0.271391979495859,-1.3423754352168,-3.9686306537747,0.0730397422126745,862,"very_easy",3,3,9,1,2,3,3,9,0,4,1,5,0.555555555555556,FALSE,FALSE,TRUE,-12.1166906414477,8.14805998767302
25,"-1:-2|2:-1",2,TRUE,0,0,2,"off_axis",2.23606797749979,2.23606797749979,3,3,2,2.23606797749979,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,6,6,6,0,5.5,2,6,1.19222677468435,0.166666666666667,2.23606797749979,2.23606797749979,0,"F2_R25",0.855042817340374,0.786850975951619,1.8228349548786,0.762372364390212,1.39805059083906,5.62515170339987,1,1,"very_hard",3,4,12,2,3,3,4,12,2,2,1,5,0.416666666666667,FALSE,FALSE,TRUE,-2.08361522728611,7.70876693068598
1708,"-1:-1|-1:0|0:1|1:-1",4,TRUE,2,2,0,"mixed",1.20710678118655,1.4142135623731,1.5,2,1,1.59508446196187,1,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.666666666666667,0.166666666666667,0.688332449299089,8.33333333333333,6,10,1.37666489859818,7,6,8,1.01015254455221,8.33333333333333,6,10,1.37666489859818,0,1.59508446196187,2.23606797749979,0.533026535932964,"F4_R25",-2.29321739484715,-1.39051734012819,0.0523490600394965,0.271391979495859,-1.3423754352168,-4.70236913065679,0.041890440386681,891,"very_easy",3,3,9,1,2,3,3,9,0,4,1,5,0.555555555555556,FALSE,FALSE,TRUE,-12.1166906414477,7.41432151079093
48,"-1:0|0:-1",2,TRUE,2,0,0,"axis_only",1,1,1,1,1,1.1380711874577,1,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,4,4,4,0,5.5,4,6,0.86747239794936,0.25,1.1380711874577,1.4142135623731,0.2391463117381,"F2_R25",-2.31138493314528,-2.22370927986327,-0.536127927905471,-1.00312153209238,-1.39805059083906,-7.47239426384547,0,44,"very_easy",2,2,4,1,1,2,2,4,0,2,1,3,0.75,FALSE,FALSE,TRUE,-14.7340957279266,7.26170146408116
1709,"-1:-1|-1:0|0:1|1:0",4,TRUE,3,1,0,"mixed",1.10355339059327,1.4142135623731,1.25,2,1,1.47147766421189,1,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.833333333333333,2,0.583333333333333,0.25,0.800640769025436,8.33333333333333,6,10,1.60128153805087,6,6,6,0,8.33333333333333,6,10,1.60128153805087,0,1.47147766421189,2.23606797749979,0.510722237756962,"F4_R25",-3.08908544783105,-2.43903041537049,1.17015005204386,0.271391979495859,-1.3423754352168,-5.42894926687862,0.0268528464017186,905,"very_easy",3,3,9,1,2,3,3,9,0,4,1,5,0.555555555555556,FALSE,FALSE,TRUE,-12.1166906414477,6.6877413745691
