"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns"
1,"-2:-2",1,TRUE,0,1,0,"diagonal_only",2.82842712474619,2.82842712474619,4,4,2,2.82842712474619,2,4,2,20,5,FALSE,20,1048576,5,32,25,25
2,"-1:-2",1,TRUE,0,0,1,"off_axis",2.23606797749979,2.23606797749979,3,3,2,2.23606797749979,2,8,1,20,5,FALSE,20,1048576,5,32,25,25
3,"-2:0",1,TRUE,1,0,0,"axis_only",2,2,2,2,2,2,2,4,2,20,5,FALSE,20,1048576,5,32,25,25
4,"-1:-1",1,TRUE,0,1,0,"diagonal_only",1.4142135623731,1.4142135623731,2,2,1,1.4142135623731,1,4,2,20,5,FALSE,20,1048576,5,32,25,25
5,"-1:0",1,TRUE,1,0,0,"axis_only",1,1,1,1,1,1,1,4,2,20,5,FALSE,20,1048576,5,32,25,25
6,"-2:-2|-1:-2",2,TRUE,0,1,1,"off_axis",2.53224755112299,2.82842712474619,3.5,4,2,2.02149836741533,2,8,1,25,0,TRUE,25,33554432,0,1,25,25
7,"-2:-2|-2:0",2,TRUE,1,1,0,"mixed",2.41421356237309,2.82842712474619,3,4,2,2.2761423749154,3,8,1,25,0,TRUE,25,33554432,0,1,25,25
8,"-1:-2|2:-2",2,TRUE,0,1,1,"off_axis",2.53224755112299,2.82842712474619,3.5,4,2,2.35483170074866,3,8,1,25,0,TRUE,25,33554432,0,1,25,25
9,"-2:-2|-2:2",2,TRUE,0,2,0,"diagonal_only",2.82842712474619,2.82842712474619,4,4,2,2.21895141649746,2,4,2,25,0,TRUE,25,33554432,0,1,25,25
10,"-2:-2|-1:-1",2,TRUE,0,2,0,"diagonal_only",2.12132034355964,2.82842712474619,3,4,2,1.88561808316413,1,4,2,25,0,TRUE,25,33554432,0,1,25,25
11,"-2:-2|-1:0",2,TRUE,1,1,0,"mixed",1.9142135623731,2.82842712474619,2.5,4,2,2.02149836741533,2,8,1,25,0,TRUE,25,33554432,0,1,25,25
12,"-1:-1|2:-2",2,TRUE,0,2,0,"diagonal_only",2.12132034355964,2.82842712474619,3,4,2,2.15956955487303,2,8,1,25,0,TRUE,25,33554432,0,1,25,25
13,"-2:-1|2:-2",2,TRUE,0,1,1,"off_axis",2.53224755112299,2.82842712474619,3.5,4,2,2.15956955487303,2,8,1,25,0,TRUE,25,33554432,0,1,25,25
14,"-1:0|2:-2",2,TRUE,1,1,0,"mixed",1.9142135623731,2.82842712474619,2.5,4,2,2.21895141649746,2,8,1,25,0,TRUE,25,33554432,0,1,25,25
15,"-2:-2|0:2",2,TRUE,1,1,0,"mixed",2.41421356237309,2.82842712474619,3,4,2,2.35483170074866,3,8,1,25,0,TRUE,25,33554432,0,1,25,25
16,"-1:-1|2:2",2,TRUE,0,2,0,"diagonal_only",2.12132034355964,2.82842712474619,3,4,2,2.35702260395516,2,4,2,25,0,TRUE,25,33554432,0,1,25,25
17,"-1:-2|2:2",2,TRUE,0,1,1,"off_axis",2.53224755112299,2.82842712474619,3.5,4,2,2.43352102658192,3,8,1,25,0,TRUE,25,33554432,0,1,25,25
18,"-2:-2|2:2",2,TRUE,0,2,0,"diagonal_only",2.82842712474619,2.82842712474619,4,4,2,2.35702260395516,2,2,4,25,0,TRUE,25,33554432,0,1,25,25
19,"-1:-2|0:-2",2,TRUE,1,0,1,"mixed",2.11803398874989,2.23606797749979,2.5,3,2,1.74535599249993,2,8,1,25,0,TRUE,25,33554432,0,1,25,25
20,"-1:-2|1:-2",2,TRUE,0,0,2,"off_axis",2.23606797749979,2.23606797749979,3,3,2,2.15737865166653,3,4,2,25,0,TRUE,25,33554432,0,1,25,25
