"family_id","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns"
1,20,5,FALSE,20,1048576,5,32,25,25
2,20,5,FALSE,20,1048576,5,32,25,25
3,20,5,FALSE,20,1048576,5,32,25,25
4,20,5,FALSE,20,1048576,5,32,25,25
5,20,5,FALSE,20,1048576,5,32,25,25
6,25,0,TRUE,25,33554432,0,1,25,25
7,25,0,TRUE,25,33554432,0,1,25,25
8,25,0,TRUE,25,33554432,0,1,25,25
9,25,0,TRUE,25,33554432,0,1,25,25
10,25,0,TRUE,25,33554432,0,1,25,25
11,25,0,TRUE,25,33554432,0,1,25,25
12,25,0,TRUE,25,33554432,0,1,25,25
13,25,0,TRUE,25,33554432,0,1,25,25
14,25,0,TRUE,25,33554432,0,1,25,25
15,25,0,TRUE,25,33554432,0,1,25,25
16,25,0,TRUE,25,33554432,0,1,25,25
17,25,0,TRUE,25,33554432,0,1,25,25
18,25,0,TRUE,25,33554432,0,1,25,25
19,25,0,TRUE,25,33554432,0,1,25,25
20,25,0,TRUE,25,33554432,0,1,25,25
21,25,0,TRUE,25,33554432,0,1,25,25
22,25,0,TRUE,25,33554432,0,1,25,25
23,25,0,TRUE,25,33554432,0,1,25,25
24,25,0,TRUE,25,33554432,0,1,25,25
25,25,0,TRUE,25,33554432,0,1,25,25
26,25,0,TRUE,25,33554432,0,1,25,25
27,25,0,TRUE,25,33554432,0,1,25,25
28,25,0,TRUE,25,33554432,0,1,25,25
29,25,0,TRUE,25,33554432,0,1,25,25
30,25,0,TRUE,25,33554432,0,1,25,25
31,25,0,TRUE,25,33554432,0,1,25,25
32,25,0,TRUE,25,33554432,0,1,25,25
33,25,0,TRUE,25,33554432,0,1,25,25
34,25,0,TRUE,25,33554432,0,1,25,25
35,25,0,TRUE,25,33554432,0,1,25,25
36,25,0,TRUE,25,33554432,0,1,25,25
37,25,0,TRUE,25,33554432,0,1,25,25
38,25,0,TRUE,25,33554432,0,1,25,25
39,25,0,TRUE,25,33554432,0,1,25,25
40,25,0,TRUE,25,33554432,0,1,25,25
41,25,0,TRUE,25,33554432,0,1,25,25
42,25,0,TRUE,25,33554432,0,1,25,25
43,25,0,TRUE,25,33554432,0,1,25,25
44,25,0,TRUE,25,33554432,0,1,25,25
45,25,0,TRUE,25,33554432,0,1,25,25
46,25,0,TRUE,25,33554432,0,1,25,25
47,25,0,TRUE,25,33554432,0,1,25,25
48,25,0,TRUE,25,33554432,0,1,25,25
49,25,0,TRUE,25,33554432,0,1,25,25
50,24,1,FALSE,24,16777216,1,2,25,25
51,24,1,FALSE,24,16777216,1,2,25,25
52,24,1,FALSE,24,16777216,1,2,25,25
53,24,1,FALSE,24,16777216,1,2,25,25
54,24,1,FALSE,24,16777216,1,2,25,25
55,20,5,FALSE,20,1048576,5,32,25,25
56,20,5,FALSE,20,1048576,5,32,25,25
57,24,1,FALSE,24,16777216,1,2,25,25
58,20,5,FALSE,20,1048576,5,32,25,25
59,16,9,FALSE,16,65536,9,512,25,25
60,16,9,FALSE,16,65536,9,512,25,25
61,20,5,FALSE,20,1048576,5,32,25,25
62,24,1,FALSE,24,16777216,1,2,25,25
63,24,1,FALSE,24,16777216,1,2,25,25
64,24,1,FALSE,24,16777216,1,2,25,25
65,24,1,FALSE,24,16777216,1,2,25,25
66,16,9,FALSE,16,65536,9,512,25,25
