"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns","mean_move_overlap","max_move_overlap","prop_moves_overlap","prop_overlap_2plus","sd_move_overlap","mean_move_hamming","min_move_hamming","max_move_hamming","sd_move_hamming","mean_local_hamming","min_local_hamming","max_local_hamming","sd_local_hamming","mean_pair_effect","min_pair_effect","max_pair_effect","sd_pair_effect","prop_pair_effect_small","effect_mean_pair_distance","effect_max_pair_distance","effect_sd_pair_distance","comparison_group","z_spatial_dispersion","z_local_change","z_overlap_variability","z_asymmetry","z_components","structural_difficulty_score","difficulty_percentile","difficulty_rank_within_group","difficulty_band"
2,"-1:-2",1,TRUE,0,0,1,"off_axis",2.23606797749979,2.23606797749979,3,3,2,2.23606797749979,2,8,1,20,5,FALSE,20,1048576,5,32,25,25,0.0833333333333333,1,0.0833333333333333,0,0.27684719634237,3.83333333333333,2,4,0.553694392684741,4,4,4,0,3.83333333333333,2,4,0.553694392684741,1,2.23606797749979,2.23606797749979,NA,"F1_R20",0.477628359069583,0.447213595499958,0,1.78885438199983,0.730296743340221,3.4439930799096,1,1,"very_hard"
1,"-2:-2",1,TRUE,0,1,0,"diagonal_only",2.82842712474619,2.82842712474619,4,4,2,2.82842712474619,2,4,2,20,5,FALSE,20,1048576,5,32,25,25,0.0833333333333333,1,0.0833333333333333,0,0.27684719634237,3.83333333333333,2,4,0.553694392684741,4,4,4,0,3.83333333333333,2,4,0.553694392684741,1,2.82842712474619,2.82842712474619,NA,"F1_R20",1.30897043740875,0.447213595499958,0,-0.447213595499958,0.730296743340221,2.03926718074898,0.75,2,"hard"
3,"-2:0",1,TRUE,1,0,0,"axis_only",2,2,2,2,2,2,2,4,2,20,5,FALSE,20,1048576,5,32,25,25,0.0833333333333333,1,0.0833333333333333,0,0.27684719634237,3.83333333333333,2,4,0.553694392684741,4,4,4,0,3.83333333333333,2,4,0.553694392684741,1,2,2,NA,"F1_R20",0.146320496337507,0.447213595499958,0,-0.447213595499958,0.730296743340221,0.876617239677729,0.5,3,"medium"
4,"-1:-1",1,TRUE,0,1,0,"diagonal_only",1.4142135623731,1.4142135623731,2,2,1,1.4142135623731,1,4,2,20,5,FALSE,20,1048576,5,32,25,25,0.0833333333333333,1,0.0833333333333333,0,0.27684719634237,3.83333333333333,2,4,0.553694392684741,4,4,4,0,3.83333333333333,2,4,0.553694392684741,1,1.4142135623731,1.4142135623731,NA,"F1_R20",-0.675797161140111,0.447213595499958,0,-0.447213595499958,-1.09544511501033,-1.77124227615044,0.25,4,"easy"
5,"-1:0",1,TRUE,1,0,0,"axis_only",1,1,1,1,1,1,1,4,2,20,5,FALSE,20,1048576,5,32,25,25,0.0833333333333333,1,0.0833333333333333,0,0.27684719634237,3.83333333333333,2,4,0.553694392684741,3,2,4,1.01015254455221,3.83333333333333,2,4,0.553694392684741,1,1,1,NA,"F1_R20",-1.25712213167573,-1.78885438199983,0,-0.447213595499958,-1.09544511501033,-4.58863522418586,0,5,"very_easy"
25,"-1:-2|2:-1",2,TRUE,0,0,2,"off_axis",2.23606797749979,2.23606797749979,3,3,2,2.23606797749979,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,6,6,6,0,5.5,2,6,1.19222677468435,0.166666666666667,2.23606797749979,2.23606797749979,0,"F2_R25",0.855042817340374,0.786850975951619,1.8228349548786,0.762372364390212,1.39805059083906,5.62515170339987,1,1,"very_hard"
36,"-1:-2|1:2",2,TRUE,0,0,2,"off_axis",2.23606797749979,2.23606797749979,3,3,2,2.23606797749979,3,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,6,6,6,0,5.5,2,6,1.19222677468435,0.166666666666667,2.23606797749979,2.23606797749979,0,"F2_R25",0.855042817340374,0.786850975951619,1.8228349548786,-1.00312153209238,1.39805059083906,3.85965780691727,0.976744186046512,2,"very_hard"
17,"-1:-2|2:2",2,TRUE,0,1,1,"off_axis",2.53224755112299,2.82842712474619,3.5,4,2,2.43352102658192,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.43352102658192,2.82842712474619,0.341998713119646,"F2_R25",1.4244623454318,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.83560834870723,0.953488372093023,3,"very_hard"
8,"-1:-2|2:-2",2,TRUE,0,1,1,"off_axis",2.53224755112299,2.82842712474619,3.5,4,2,2.35483170074866,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.35483170074866,2.82842712474619,0.426792094261082,"F2_R25",1.19753630407616,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.60868230735159,0.906976744186046,4,"very_hard"
15,"-2:-2|0:2",2,TRUE,1,1,0,"mixed",2.41421356237309,2.82842712474619,3,4,2,2.35483170074866,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.35483170074866,2.82842712474619,0.426792094261082,"F2_R25",1.19753630407616,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.60868230735159,0.906976744186046,4,"very_hard"
